Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Neural Net,Naive Bayes,Linear SVM
0.6111111111111112,0.7777777777777778,0.6111111111111112,0.7222222222222222,0.3888888888888889,0.6111111111111112,0.5
0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.4117647058823529,0.7647058823529411,0.4117647058823529
0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.4117647058823529,0.9411764705882353,0.4117647058823529
0.7058823529411765,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.4117647058823529,0.6470588235294118,0.5294117647058824
0.5,0.6875,0.8125,0.8125,0.4375,0.75,0.125
0.6666666666666666,0.8,0.7333333333333333,0.8,0.4,0.8,0.7333333333333333
0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.7333333333333333,0.5333333333333333
0.6666666666666666,0.7333333333333333,0.6666666666666666,0.8,0.4,0.7333333333333333,0.4
0.6666666666666666,0.7333333333333333,0.6,0.8,0.4,0.6666666666666666,0.4
0.6666666666666666,0.7333333333333333,0.5333333333333333,0.8666666666666667,0.4,0.6,0.6
