Decision Tree,Naive Bayes,Linear SVM,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.7,0.74,0.78,0.8,0.7,0.72,0.72
0.82,0.76,0.76,0.82,0.7,0.7,0.7
0.8,0.72,0.78,0.74,0.7,0.72,0.66
0.64,0.64,0.68,0.6,0.7,0.72,0.66
0.68,0.62,0.62,0.66,0.7,0.74,0.62
0.66,0.74,0.7,0.74,0.7,0.7,0.66
0.76,0.7,0.72,0.76,0.7,0.72,0.74
0.74,0.62,0.76,0.82,0.7,0.72,0.7
0.72,0.86,0.78,0.76,0.7,0.7,0.68
0.8,0.74,0.84,0.86,0.68,0.72,0.74
0.78,0.86,0.84,0.84,0.7,0.72,0.72
0.72,0.7,0.78,0.78,0.7,0.72,0.68
0.68,0.74,0.74,0.8,0.7,0.72,0.64
0.76,0.82,0.76,0.76,0.7,0.7,0.74
0.66,0.74,0.78,0.78,0.7,0.74,0.72
0.68,0.68,0.7,0.74,0.7,0.72,0.56
0.82,0.62,0.8,0.76,0.7,0.72,0.66
0.78,0.7,0.82,0.82,0.7,0.7,0.68
0.78,0.68,0.76,0.76,0.7,0.7,0.62
0.74,0.72,0.68,0.74,0.7,0.72,0.72
