Decision Tree,Naive Bayes,Neural Net,RBF SVM,Random Forest,Nearest Neighbors
0.9,1.0,0.4,0.4,1.0,0.6
0.9,1.0,0.4,0.4,1.0,0.8
0.9,1.0,0.4,0.4,1.0,0.7
0.8,1.0,0.4,0.4,1.0,0.6
1.0,1.0,0.4,0.4,1.0,0.8
0.9,1.0,0.4,0.4,0.9,0.6
0.7,1.0,0.4,0.4,0.9,0.9
1.0,1.0,0.4,0.4,1.0,0.6
0.8888888888888888,1.0,0.4444444444444444,0.4444444444444444,1.0,0.7777777777777778
0.7777777777777778,1.0,0.4444444444444444,0.4444444444444444,1.0,0.7777777777777778
0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444,1.0,0.7777777777777778
1.0,1.0,0.375,0.375,1.0,0.875
1.0,1.0,0.375,0.375,1.0,0.75
0.875,1.0,0.375,0.375,1.0,0.625
1.0,1.0,0.375,0.375,1.0,0.875
0.75,0.75,0.375,0.375,0.75,0.75
0.75,1.0,0.375,0.375,1.0,0.875
0.875,1.0,0.375,0.375,1.0,0.625
0.75,1.0,0.375,0.375,1.0,0.625
1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,0.7142857142857143
